UserId,Predicted
25708,25723
2473,2612
18844,18955
19268,19533
25283,25452
21869,21905
17748,17896
5744,5793
3656,3701
17002,17482
26827,26870
10793,10818
17497,17735
23978,24603
850,959
1813,1814
15515,15647
20050,20244
22364,22579
0,58
7983,8098
11818,12091
12178,12368
26019,26163
3581,3589
14103,23959
19608,19625
14129,14735
1310,1346
18612,18717
1099,1264
22223,22278
2630,2702
20518,20823
12535,12684
13471,13526
6934,7593
3077,3089
9199,9339
3703,3718
8338,8415
3236,3350
2976,3014
21098,21574
13687,13789
15227,15459
5087,5383
8890,8891
24812,24852
23063,23128
